full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,92152,92152,12223,2793,2793,1727,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,127272,127272,17556,1558,1558,600,https://github.com/affaan-m/everything-claude-code
Kuberwastaken/claude-code,3684,3684,4990,1636,1636,1526,https://github.com/Kuberwastaken/claude-code
claude-code-best/claude-code,2416,2416,3410,1738,1738,2380,https://github.com/claude-code-best/claude-code
shareAI-lab/learn-claude-code,45352,45352,7044,347,347,130,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,5215,5215,9382,1154,1154,2141,https://github.com/ChinaSiro/claude-code-sourcemap
chatgptprojects/claude-code,1476,1476,1848,453,453,570,https://github.com/chatgptprojects/claude-code
jarmuine/claude-code,658,658,2537,282,282,1014,https://github.com/jarmuine/claude-code
sanbuphy/claude-code-source-code,5755,5755,11428,2795,2795,5534,https://github.com/sanbuphy/claude-code-source-code
hesreallyhim/awesome-claude-code,35104,35104,2606,104,104,39,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,30889,30889,2396,27,27,7,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,23931,23931,2324,23,23,8,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,28831,28831,2434,637,637,81,https://github.com/shanraisshan/claude-code-best-practice
pengchengneo/Claude-Code,537,537,1117,122,122,312,https://github.com/pengchengneo/Claude-Code
instructkr/claw-code,67269,67269,68563,20838,20838,13521,https://github.com/instructkr/claw-code
VoltAgent/awesome-claude-code-subagents,15826,15826,1782,32,32,9,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6778,6778,1625,9,9,3,https://github.com/anthropics/claude-code-action
diet103/claude-code-infrastructure-showcase,9384,9384,1200,2,2,0,https://github.com/diet103/claude-code-infrastructure-showcase
Piebald-AI/claude-code-system-prompts,7548,7548,1211,201,201,139,https://github.com/Piebald-AI/claude-code-system-prompts
Donchitos/Claude-Code-Game-Studios,7670,7670,1128,21,21,7,https://github.com/Donchitos/Claude-Code-Game-Studios
oboard/claude-code-rev,1156,1156,1790,365,365,579,https://github.com/oboard/claude-code-rev
frankbria/ralph-claude-code,8315,8315,606,5,5,3,https://github.com/frankbria/ralph-claude-code
Onewon/claude-code,72,72,906,17,17,399,https://github.com/Onewon/claude-code
ykdojo/claude-code-tips,7000,7000,483,9,9,2,https://github.com/ykdojo/claude-code-tips
tanbiralam/claude-code,238,238,412,73,73,117,https://github.com/tanbiralam/claude-code
ponponon/claude_code_src,605,605,1274,381,381,846,https://github.com/ponponon/claude_code_src
ChrisWiles/claude-code-showcase,5652,5652,499,4,4,1,https://github.com/ChrisWiles/claude-code-showcase
pedrohcgs/claude-code-my-workflow,814,814,1549,2,2,4,https://github.com/pedrohcgs/claude-code-my-workflow
OneRedOak/claude-code-workflows,3760,3760,553,1,1,0,https://github.com/OneRedOak/claude-code-workflows
beita6969/claude-code,163,163,412,21,21,49,https://github.com/beita6969/claude-code
hangsman/claude-code-source,455,455,1132,74,74,206,https://github.com/hangsman/claude-code-source
1rgs/claude-code-proxy,3333,3333,442,1,1,2,https://github.com/1rgs/claude-code-proxy
qwibitai/nanoclaw,26108,26108,9973,15,15,48,https://github.com/qwibitai/nanoclaw
disler/claude-code-hooks-mastery,3449,3449,586,2,2,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3769,3769,353,0,0,1,https://github.com/zebbern/claude-code-guide
anthropics/skills,107621,107621,11949,162,162,40,https://github.com/anthropics/skills
sickn33/antigravity-awesome-skills,29495,29495,4918,125,125,14,https://github.com/sickn33/antigravity-awesome-skills
kodu-ai/claude-coder,5287,5287,198,-1,-1,0,https://github.com/kodu-ai/claude-coder
Maciek-roboblog/Claude-Code-Usage-Monitor,7244,7244,353,11,11,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Yuyz0112/claude-code-reverse,2314,2314,384,1,1,0,https://github.com/Yuyz0112/claude-code-reverse
NanmiCoder/claude-code-haha,475,475,705,475,475,705,https://github.com/NanmiCoder/claude-code-haha
fuergaosi233/claude-code-proxy,2297,2297,323,3,3,0,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,4088,4088,345,4,4,2,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2300,2300,304,4,4,-1,https://github.com/RichardAtCT/claude-code-telegram
FlorianBruniaux/claude-code-ultimate-guide,2649,2649,380,21,21,4,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Leonxlnx/claude-code-system-prompts,1164,1164,580,411,411,188,https://github.com/Leonxlnx/claude-code-system-prompts
tvytlx/claude-code-deep-dive,1278,1278,526,436,436,228,https://github.com/tvytlx/claude-code-deep-dive
Cranot/claude-code-guide,2542,2542,269,0,0,2,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-base-action,743,743,590,0,0,1,https://github.com/anthropics/claude-code-base-action
ding113/claude-code-hub,2235,2235,253,3,3,0,https://github.com/ding113/claude-code-hub
https-deeplearning-ai/sc-claude-code-files,469,469,639,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1375,1375,282,0,0,0,https://github.com/edmund-io/edmunds-claude-code
router-for-me/CLIProxyAPI,21736,21736,3577,59,59,4,https://github.com/router-for-me/CLIProxyAPI
VineeTagarwaL-code/claude-code,171,171,176,48,48,50,https://github.com/VineeTagarwaL-code/claude-code
zstmfhy/Claude-code,117,117,205,38,38,51,https://github.com/zstmfhy/Claude-code
obra/superpowers,128296,128296,10495,483,483,52,https://github.com/obra/superpowers
eyaltoledano/claude-task-master,26331,26331,2470,3,3,2,https://github.com/eyaltoledano/claude-task-master
Pimzino/claude-code-spec-workflow,3596,3596,252,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
wanshuiyin/Auto-claude-code-research-in-sleep,5025,5025,415,21,21,5,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
wshobson/agents,32669,32669,3565,21,21,7,https://github.com/wshobson/agents
anthropics/claude-plugins-official,15583,15583,1700,30,30,6,https://github.com/anthropics/claude-plugins-official
zhukunpenglinyutong/idea-claude-code-gui,2274,2274,263,6,6,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
snarktank/ralph,14160,14160,1442,6,6,0,https://github.com/snarktank/ralph
bfly123/claude_code_bridge,2008,2008,184,1,1,1,https://github.com/bfly123/claude_code_bridge
freestylefly/claude-code,87,87,183,27,27,70,https://github.com/freestylefly/claude-code
ghuntley/claude-code-source-code-deobfuscation,931,931,535,12,12,25,https://github.com/ghuntley/claude-code-source-code-deobfuscation
siteboon/claudecodeui,9225,9225,1184,24,24,2,https://github.com/siteboon/claudecodeui
feiskyer/claude-code-settings,1392,1392,207,1,1,0,https://github.com/feiskyer/claude-code-settings
carlvellotti/claude-code-pm-course,1711,1711,264,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,987,987,227,0,0,0,https://github.com/sugyan/claude-code-webui
lst97/claude-code-sub-agents,1508,1508,240,2,2,1,https://github.com/lst97/claude-code-sub-agents
centminmod/my-claude-code-setup,2138,2138,213,1,1,0,https://github.com/centminmod/my-claude-code-setup
alirezarezvani/claude-skills,8414,8414,1005,61,61,15,https://github.com/alirezarezvani/claude-skills
lowcortisolprogrammer/claude-code,137,137,130,21,21,20,https://github.com/lowcortisolprogrammer/claude-code
darcyegb/ClaudeCodeAgents,636,636,56,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
Alishahryar1/free-claude-code,1291,1291,171,8,8,4,https://github.com/Alishahryar1/free-claude-code
slopus/happy,16806,16806,1338,8,8,3,https://github.com/slopus/happy
rohitg00/awesome-claude-code-toolkit,980,980,254,5,5,3,https://github.com/rohitg00/awesome-claude-code-toolkit
Yeachan-Heo/oh-my-claudecode,19212,19212,1448,581,581,93,https://github.com/Yeachan-Heo/oh-my-claudecode
nishimoto265/Claude-Code-Communication,495,495,236,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
huangserva/claude-code-cli,159,159,396,159,159,396,https://github.com/huangserva/claude-code-cli
farion1231/cc-switch,36405,36405,2172,67,67,4,https://github.com/farion1231/cc-switch
catlog22/Claude-Code-Workflow,1643,1643,137,11,11,0,https://github.com/catlog22/Claude-Code-Workflow
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2572,2572,441,36,36,16,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
simonw/claude-code-transcripts,1370,1370,144,0,0,0,https://github.com/simonw/claude-code-transcripts
trailofbits/claude-code-config,1728,1728,132,4,4,0,https://github.com/trailofbits/claude-code-config
steipete/claude-code-mcp,1212,1212,150,1,1,0,https://github.com/steipete/claude-code-mcp
Njengah/claude-code-cheat-sheet,1508,1508,192,3,3,2,https://github.com/Njengah/claude-code-cheat-sheet
rizethereum/claude-code-requirements-builder,1760,1760,174,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
jeremylongshore/claude-code-plugins-plus-skills,1784,1784,237,8,8,2,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
MR-MaoJiu/ClaudeCode,59,59,110,59,59,110,https://github.com/MR-MaoJiu/ClaudeCode
andrepimenta/claude-code-chat,1013,1013,156,0,0,0,https://github.com/andrepimenta/claude-code-chat
disler/claude-code-hooks-multi-agent-observability,1318,1318,363,0,0,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
mehmoodosman/claude-code,66,66,136,66,66,136,https://github.com/mehmoodosman/claude-code
jarrodwatts/claude-hud,15763,15763,657,50,50,1,https://github.com/jarrodwatts/claude-hud
JessyTsui/Claude-Code-Remote,1192,1192,128,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
LING71671/Open-ClaudeCode,69,69,105,69,69,105,https://github.com/LING71671/Open-ClaudeCode
Hyper66666/claude-code-sourcemap,125,125,334,125,125,334,https://github.com/Hyper66666/claude-code-sourcemap
ComposioHQ/awesome-claude-skills,49911,49911,5176,83,83,16,https://github.com/ComposioHQ/awesome-claude-skills
0xfurai/claude-code-subagents,806,806,145,0,0,1,https://github.com/0xfurai/claude-code-subagents
