full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
instructkr/claude-code,22650,22650,32115,22650,22650,32115,https://github.com/instructkr/claude-code
anthropics/claude-code,86815,86815,8572,2008,2008,1387,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,123678,123678,16274,2243,2243,479,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,44674,44674,6834,433,433,76,https://github.com/shareAI-lab/learn-claude-code
hesreallyhim/awesome-claude-code,34835,34835,2541,133,133,18,https://github.com/hesreallyhim/awesome-claude-code
musistudio/claude-code-router,30831,30831,2385,40,40,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,23876,23876,2310,24,24,3,https://github.com/davila7/claude-code-templates
shanraisshan/claude-code-best-practice,27536,27536,2280,641,641,37,https://github.com/shanraisshan/claude-code-best-practice
ChinaSiro/claude-code-sourcemap,2369,2369,4090,2369,2369,4090,https://github.com/ChinaSiro/claude-code-sourcemap
VoltAgent/awesome-claude-code-subagents,15750,15750,1770,28,28,3,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,6756,6756,1617,13,13,4,https://github.com/anthropics/claude-code-action
nirholas/claude-code,509,509,610,509,509,610,https://github.com/nirholas/claude-code
diet103/claude-code-infrastructure-showcase,9377,9377,1201,4,4,1,https://github.com/diet103/claude-code-infrastructure-showcase
Donchitos/Claude-Code-Game-Studios,7613,7613,1114,51,51,12,https://github.com/Donchitos/Claude-Code-Game-Studios
Piebald-AI/claude-code-system-prompts,7189,7189,972,48,48,14,https://github.com/Piebald-AI/claude-code-system-prompts
frankbria/ralph-claude-code,8294,8294,603,7,7,0,https://github.com/frankbria/ralph-claude-code
chatgptprojects/claude-code,317,317,357,317,317,357,https://github.com/chatgptprojects/claude-code
ykdojo/claude-code-tips,6968,6968,480,13,13,0,https://github.com/ykdojo/claude-code-tips
ChrisWiles/claude-code-showcase,5637,5637,498,20,20,2,https://github.com/ChrisWiles/claude-code-showcase
OneRedOak/claude-code-workflows,3756,3756,553,0,0,0,https://github.com/OneRedOak/claude-code-workflows
pedrohcgs/claude-code-my-workflow,810,810,1539,5,5,9,https://github.com/pedrohcgs/claude-code-my-workflow
1rgs/claude-code-proxy,3331,3331,440,2,2,-1,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3446,3446,586,1,1,-1,https://github.com/disler/claude-code-hooks-mastery
qwibitai/nanoclaw,26069,26069,9874,37,37,56,https://github.com/qwibitai/nanoclaw
zebbern/claude-code-guide,3764,3764,351,5,5,2,https://github.com/zebbern/claude-code-guide
pengchengneo/Claude-Code,163,163,239,163,163,239,https://github.com/pengchengneo/Claude-Code
kodu-ai/claude-coder,5288,5288,198,1,1,0,https://github.com/kodu-ai/claude-coder
sanbuphy/claude-code-source-code,672,672,1063,672,672,1063,https://github.com/sanbuphy/claude-code-source-code
Maciek-roboblog/Claude-Code-Usage-Monitor,7225,7225,351,13,13,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,107275,107275,11878,319,319,41,https://github.com/anthropics/skills
Yuyz0112/claude-code-reverse,2308,2308,381,5,5,3,https://github.com/Yuyz0112/claude-code-reverse
Kuberwastaken/claude-code,118,118,234,118,118,234,https://github.com/Kuberwastaken/claude-code
fuergaosi233/claude-code-proxy,2292,2292,323,2,2,4,https://github.com/fuergaosi233/claude-code-proxy
anthropics/claude-code-security-review,4079,4079,343,5,5,2,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2293,2293,303,3,3,3,https://github.com/RichardAtCT/claude-code-telegram
FlorianBruniaux/claude-code-ultimate-guide,2599,2599,376,18,18,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
Cranot/claude-code-guide,2539,2539,266,0,0,0,https://github.com/Cranot/claude-code-guide
ding113/claude-code-hub,2230,2230,253,10,10,1,https://github.com/ding113/claude-code-hub
hangsman/claude-code-source,260,260,654,260,260,654,https://github.com/hangsman/claude-code-source
anthropics/claude-code-base-action,741,741,589,2,2,0,https://github.com/anthropics/claude-code-base-action
sickn33/antigravity-awesome-skills,29186,29186,4869,126,126,24,https://github.com/sickn33/antigravity-awesome-skills
https-deeplearning-ai/sc-claude-code-files,469,469,639,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1374,1374,282,1,1,0,https://github.com/edmund-io/edmunds-claude-code
router-for-me/CLIProxyAPI,21602,21602,3557,99,99,18,https://github.com/router-for-me/CLIProxyAPI
Pimzino/claude-code-spec-workflow,3594,3594,252,1,1,0,https://github.com/Pimzino/claude-code-spec-workflow
eyaltoledano/claude-task-master,26323,26323,2467,7,7,-1,https://github.com/eyaltoledano/claude-task-master
obra/superpowers,127287,127287,10380,807,807,64,https://github.com/obra/superpowers
wanshuiyin/Auto-claude-code-research-in-sleep,4976,4976,407,62,62,8,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
wshobson/agents,32635,32635,3552,25,25,-1,https://github.com/wshobson/agents
zhukunpenglinyutong/idea-claude-code-gui,2266,2266,261,16,16,4,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
bfly123/claude_code_bridge,2004,2004,183,15,15,0,https://github.com/bfly123/claude_code_bridge
jarmuine/claude-code,35,35,212,35,35,212,https://github.com/jarmuine/claude-code
snarktank/ralph,14134,14134,1437,25,25,3,https://github.com/snarktank/ralph
anthropics/claude-plugins-official,15507,15507,1686,42,42,3,https://github.com/anthropics/claude-plugins-official
feiskyer/claude-code-settings,1390,1390,207,2,2,0,https://github.com/feiskyer/claude-code-settings
siteboon/claudecodeui,9176,9176,1176,15,15,0,https://github.com/siteboon/claudecodeui
carlvellotti/claude-code-pm-course,1710,1710,264,2,2,2,https://github.com/carlvellotti/claude-code-pm-course
ghuntley/claude-code-source-code-deobfuscation,902,902,472,27,27,48,https://github.com/ghuntley/claude-code-source-code-deobfuscation
sugyan/claude-code-webui,989,989,227,0,0,0,https://github.com/sugyan/claude-code-webui
lst97/claude-code-sub-agents,1505,1505,239,3,3,0,https://github.com/lst97/claude-code-sub-agents
centminmod/my-claude-code-setup,2135,2135,213,0,0,0,https://github.com/centminmod/my-claude-code-setup
Onewon/claude-code,32,32,201,32,32,201,https://github.com/Onewon/claude-code
darcyegb/ClaudeCodeAgents,634,634,56,0,0,0,https://github.com/darcyegb/ClaudeCodeAgents
StarKnightt/Claude-Code,59,59,147,59,59,147,https://github.com/StarKnightt/Claude-Code
Alishahryar1/free-claude-code,1278,1278,165,11,11,3,https://github.com/Alishahryar1/free-claude-code
rohitg00/awesome-claude-code-toolkit,969,969,248,3,3,2,https://github.com/rohitg00/awesome-claude-code-toolkit
alirezarezvani/claude-skills,8283,8283,983,60,60,10,https://github.com/alirezarezvani/claude-skills
slopus/happy,16778,16778,1336,31,31,2,https://github.com/slopus/happy
